"ID_sim","SNR","Method","Retention","Nonzero","Prediction"
"1 1","0.05","Lasso","5","19","72.8244817302031"
"1 1","0.05","Relaxed Lasso","4","10","79.6312069546561"
"1 1","0.05","RF","5","8","66.0226386050228"
"1 2","0.05","Lasso","2","21","87.1328202516587"
"1 2","0.05","Relaxed Lasso","1","14","87.3065148123215"
"1 2","0.05","RF","1","6","67.6595880203136"
"1 3","0.05","Lasso","0","0","72.533856685585"
"1 3","0.05","Relaxed Lasso","0","0","72.0532828394618"
"1 3","0.05","RF","0","4","61.2760354681109"
"1 4","0.05","Lasso","3","8","114.2722890893"
"1 4","0.05","Relaxed Lasso","1","1","113.544397267176"
"1 4","0.05","RF","3","6","86.3978159392042"
"1 5","0.05","Lasso","1","2","98.524874657634"
"1 5","0.05","Relaxed Lasso","1","2","98.8054262372205"
"1 5","0.05","RF","1","4","91.5135833457"
"1 6","0.05","Lasso","0","0","92.6160072864464"
"1 6","0.05","Relaxed Lasso","0","0","92.4120195800603"
"1 6","0.05","RF","0","0","Inf"
"1 7","0.05","Lasso","0","0","111.594436296752"
"1 7","0.05","Relaxed Lasso","0","0","111.602460952333"
"1 7","0.05","RF","0","7","100.227332000956"
"1 8","0.05","Lasso","0","0","113.924662244924"
"1 8","0.05","Relaxed Lasso","0","8","113.602658716981"
"1 8","0.05","RF","1","6","98.8335109012213"
"1 9","0.05","Lasso","2","20","130.619723950192"
"1 9","0.05","Relaxed Lasso","2","15","130.297720452949"
"1 9","0.05","RF","1","6","95.3710330108424"
"1 10","0.05","Lasso","0","18","105.296230106388"
"1 10","0.05","Relaxed Lasso","0","0","105.303219935895"
"1 10","0.05","RF","0","5","85.6144052876368"
"1 11","0.05","Lasso","0","0","136.471936921321"
"1 11","0.05","Relaxed Lasso","2","10","136.403552571709"
"1 11","0.05","RF","2","6","103.178699783308"
"1 12","0.05","Lasso","5","47","97.1368724940332"
"1 12","0.05","Relaxed Lasso","4","41","116.658992207866"
"1 12","0.05","RF","2","5","102.190017782457"
"1 13","0.05","Lasso","0","4","109.583118936059"
"1 13","0.05","Relaxed Lasso","0","3","110.35175929073"
"1 13","0.05","RF","0","7","89.8368179760486"
"1 14","0.05","Lasso","2","7","142.672789795739"
"1 14","0.05","Relaxed Lasso","1","4","143.66311987953"
"1 14","0.05","RF","1","6","119.792653349163"
"1 15","0.05","Lasso","0","7","128.978015618794"
"1 15","0.05","Relaxed Lasso","0","0","128.954767165659"
"1 15","0.05","RF","0","4","115.974154252882"
"1 16","0.05","Lasso","0","0","105.352441863114"
"1 16","0.05","Relaxed Lasso","1","4","104.862637383937"
"1 16","0.05","RF","0","2","89.432970126028"
"1 17","0.05","Lasso","0","0","107.728916822087"
"1 17","0.05","Relaxed Lasso","0","0","106.51721380066"
"1 17","0.05","RF","2","5","89.4096142477147"
"1 18","0.05","Lasso","0","5","82.6197652301576"
"1 18","0.05","Relaxed Lasso","0","1","82.3250372219084"
"1 18","0.05","RF","1","7","71.1936636804781"
"1 19","0.05","Lasso","1","3","105.432235807665"
"1 19","0.05","Relaxed Lasso","1","2","105.75162511507"
"1 19","0.05","RF","1","3","80.6827417065971"
